id,nome,unidadeprincipal,id_municipio,ano
00495571000144,CÂMARA MUNICIPAL,0,1700251,2024
11291277000137,FUNDO MUNICIPAL DE SAÚDE,0,1700251,2024
37425451000180,PREFEITURA MUNICIPAL,1,1700251,2024
11291254000122,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,0,1700251,2024
30047887000134,FUNDO MUNICIPAL DE EDUCACAO,0,1700251,2024
31741472000129,FUNDO MUNICIPAL DE PREVIDENCIA SOCIAL DOS SERVIDORES,0,1700251,2024
01634074000142,PREFEITURA MUNICIPAL,1,1700301,2024
01776747000107,CÂMARA MUNICIPAL,0,1700301,2024
11291331000144,FUNDO MUNICIPAL DE SAÚDE,0,1700301,2024
14987719000172,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,0,1700301,2024
27390482000190,FUNDO MUNICIPAL DE EDUCACAO,0,1700301,2024
25042219000184,PREFEITURA MUNICIPAL,1,1700350,2024
25042235000177,CÂMARA MUNICIPAL,0,1700350,2024
11341025000175,FUNDO MUNICIPAL DE SAÚDE,0,1700350,2024
14837176000107,FUNDO MUNICIPAL DE ASSITÊNCIA SOCIAL,0,1700350,2024
30412551000123,FUNDO MUNICIPAL DE EDUCAÇÃO FME,0,1700350,2024
01138551000189,PREFEITURA MUNICIPAL,1,1700400,2024
12271064000106,FUNDO MUNICIPAL DE SAÚDE,0,1700400,2024
33266321000191,CÂMARA MUNICIPAL,0,1700400,2024
13841910000149,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,0,1700400,2024
30814757000180,FUNDO MUNICIPAL DE EDUCAÇÃO,0,1700400,2024
34119165000107,CONSORCIO INTERMUNICIPAL DE DESENVOLVIMENTO SUSTENTAVEL VALE DO RIO MANOEL ALVES,0,1700400,2024
48553503000110,FUNDO MUNICIPAL DOS DIREITOS DA CRIANCA E DO ADOLESCENTE,0,1700400,2024
01800242000122,PREFEITURA MUNICIPAL,1,1700707,2024
12099581000140,FUNDO MUNICIPAL DE SAÚDE,0,1700707,2024
25043332000184,CÂMARA MUNICIPAL,0,1700707,2024
13022718000120,FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL DE ALVORADA TO,0,1700707,2024
19108179000123,FUNDO MUNICIPAL DE EDUCACAO DE ALVORADA,0,1700707,2024
00237362000109,PREFEITURA MUNICIPAL,1,1701002,2024
11246570000182,FUNDO MUNICIPAL DE SAÚDE,0,1701002,2024
25061508000120,CÂMARA MUNICIPAL,0,1701002,2024
00007088000173,SERVICO AUTONOMO DE AGUA E ESGOTO,0,1701002,2024
14797972000163,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,0,1701002,2024
19870299000163,FUNDO MUNICIPAL DE EDUCACAO DE ANANAS FME,0,1701002,2024
22800311000178,FUNDO MUNICIPAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE,0,1701002,2024
04316382000118,CÂMARA MUNICIPAL,0,1701051,2024
11271018000144,FUNDO MUNICIPAL DE SAÚDE,0,1701051,2024
25064098000171,PREFEITURA MUNICIPAL,1,1701051,2024
13901867000160,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,0,1701051,2024
06073608000122,FUNDO MUNICIPAL DE EDUCACAO,0,1701051,2024
02087797000131,CÂMARA MUNICIPAL,0,1701101,2024
25086638000118,PREFEITURA MUNICIPAL,1,1701101,2024
11491119000120,FUNDO MUNICIPAL DE SAÚDE,0,1701101,2024
13269431000108,FUNDO MUN DE ASSISTENCIA SOCIAL DE APARECIDA DO RIO NEGRO,0,1701101,2024
06083297000182,FUNDO MUNICIPAL DE EDUCACAO,0,1701101,2024
29623644000118,AGENCIA APARECIDENSE DE SANEAMENTO E LIMPEZA PÚBLICA,0,1701101,2024
01068359000163,CÂMARA MUNICIPAL,0,1701309,2024
12616343000164,FUNDO MUNICIPAL DE SAÚDE,0,1701309,2024
25063884000154,PREFEITURA MUNICIPAL,1,1701309,2024
14767568000147,FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL,0,1701309,2024
19432980000120,FUNDO MUNICIPAL DE EDUCACAO,0,1701309,2024
35311934000129,FUNDO DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE,0,1701309,2024
02070621000177,PREFEITURA MUNICIPAL,1,1701903,2024
04365494000169,CÂMARA MUNICIPAL,0,1701903,2024
11348280000140,FUNDO MUNICIPAL DE SAUDE,0,1701903,2024
16666575000188,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,0,1701903,2024
18176670000129,FUNDO MUNICIPAL DE PREVIDENCIA SOCIAL DOS SERVIDORES DE ARAGUACEMATO,0,1701903,2024
30834887000184,SECRETARIA MUNICIPAL DE EDUCACAO,0,1701903,2024
02391407000112,PREFEITURA MUNICIPAL,1,1702000,2024
25042698000139,CÂMARA MUNICIPAL,0,1702000,2024
12254356000130,FUNDO MUNICIPAL DE SAÚDE,0,1702000,2024
14843463000120,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,0,1702000,2024
30387552000165,FUNDO MUNICIPAL DE EDUCACAO,0,1702000,2024
29315460000190,FUNDO MUNICIPAL DOS DIREITOS DA CRIANCA E DO ADOLESCENTE,0,1702000,2024
00237347000152,FUNDAÇÃO DE ATIVIDADE MUNICIPAL COMUNITÁRIA,0,1702109,2024
02664384000172,INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES - IMPAR,0,1702109,2024
02773216000115,CÂMARA MUNICIPAL,0,1702109,2024
11046759000121,FUNDO MUNICIPAL DE SAÚDE,0,1702109,2024
17380275000109,GABINETE DO PREFEITO,0,1702109,2024
17380242000150,SECRETARIA MUNICIPAL DA FAZENDA,1,1702109,2024
17387125000119,SECRETARIA MUNICIPAL DA ADMINISTRACAO,0,1702109,2024
17387360000190,SECRETARIA MUNICIPAL DE CAPTACAO E GESTAO DE RECURSOS,0,1702109,2024
17387148000123,SECRETARIA MUNICIPAL DA EDUCAÇÃO,0,1702109,2024
17387179000184,SECRETARIA MUNICIPAL DE GOVERNO,0,1702109,2024
17387437000122,SECRETARIA MUNICIPAL DE INFRAESTRUTURA,0,1702109,2024
17380265000165,SECRETARIA MUNICIPAL DA ASSISTÊNCIA SOCIAL TRABALHO E HABITAÇÃO,0,1702109,2024
17387295000101,"SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, MEIO AMBIENTE E TURISMO",0,1702109,2024
17435294000187,PROCURADORIA DO MUNICIPIO,0,1702109,2024
17393347000144,CONTROLADORIA MUNICIPAL,0,1702109,2024
20344698000170,AGENCIA MUNICIPAL DE TRANSPORTES E TRANSITO AMTT,0,1702109,2024
20344658000128,CONSORCIO PUBLICO INTERMUNICIPAL DE DESENVOLVIMENTO REGIONAL DO CENTRO NORTE,0,1702109,2024
27754257000195,SECRETARIA MUNICIPAL DE PLANEJAMENTO E TECNOLOGIA,0,1702109,2024
40454320000136,SECRETARIA MUNICIPAL DE ESPORTE CULTURA E LAZER,0,1702109,2024
49150538000171,SECRETARIA MUNICIPAL DE COMUNICACAO SOCIAL,0,1702109,2024
53565273000140,SECRETARIA MUNICIPAL ESPECIAL DE CIENCIA TECNOLOGIA INOVACAO E RELACOES INTERNACIONAIS,0,1702109,2024
53775929000159,SECRETARIA MUNICIPAL ESPECIAL DA MULHER,0,1702109,2024
00845294000152,CÂMARA MUNICIPAL,0,1702158,2024
12035302000184,FUNDO MUNICIPAL DE SAÚDE,0,1702158,2024
25063892000109,PREFEITURA MUNICIPAL,1,1702158,2024
12881773000103,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,0,1702158,2024
20865224000173,FUNDO MUNICIPAL DOS DIREITOS DA CRIANCA E DO ADOLESCENTE,0,1702158,2024
34801298000150,FUNDO MUNICIPAL DE EDUCAÇÃO,0,1702158,2024
44519271000123,FUNDO MUNICIPAL DE TURISMO CULTURA E LAZER,0,1702158,2024
00007153000160,SERVIÇO MUNICIPAL DE SANEAMENTO,0,1702208,2024
01237403000111,PREFEITURA MUNICIPAL,1,1702208,2024
09633925000144,FUNDO DE PREVIDÊNCIA DOS SERVIDORES MUNICIPAIS,0,1702208,2024
11406326000130,FUNDO MUNICIPAL DE SAÚDE,0,1702208,2024
25085796000153,CÂMARA MUNICIPAL,0,1702208,2024
15547010000119,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,0,1702208,2024
30910524000180,SECRETARIA MUNICIPAL DE EDUCAÇÃO,0,1702208,2024
00237370000147,PREFEITURA MUNICIPAL,1,1702307,2024
00767228000101,CÂMARA MUNICIPAL,0,1702307,2024
11379774000191,FUNDO MUNICIPAL DE SAÚDE,0,1702307,2024
14798808000170,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,0,1702307,2024
31573400000110,FUNDO MUNICIPAL DE EDUCACAO,0,1702307,2024
